"RefDes","Value","Name","Manufacturer","Quantity","Datasheet"
"C1","0.1uF","CAP_0805_L","","1",""
"C2","1uF","CAP_0805_L","","1",""
"C3","1.5uF","CAP_0805_L","","1",""
"C4","1uF","CAP_0805_L","","1",""
"C5","1uF","CAP_0805_L","","1",""
"C6","1uF","CAP_0805_L","","1",""
"D1","","DIO_0805_L","","1",""
"J4","","HDR-1x3","","1",""
"J5","","GREC006SBSN-M89RC","Sullins","1","http://datasheets.diptrace.com/con_headers/xRxCzzzSxxN-M89RC_11659-B.pdf"
"R1","10K Empty","RES_0805_L","","1",""
"R2","10K Empty","RES_0805_L","","1",""
"R3","10K","RES_0805_L","","1",""
"R4","10K","RES_0805_L","","1",""
"R5","10K","RES_0805_L","","1",""
"R6","Jumper","RES_0805_L","","1",""
"R7","Jumper","RES_0805_L","","1",""
"R8","Jumper","RES_0805_L","","1",""
"R9","100","RES_0805_L","","1",""
"U1","","AMG8833","","1",""
"U2","","MCP1700T-3302E/TT","Microchip","1","http://www.mouser.com/ds/2/268/20001826C-320934.pdf"
